Portfolio,Date,Portfolio Return,Historical Benchmark Return,Active Return vs S&P500
Original,2025-05-12,0.05283819504353476,0.03255882160670387,0.020279373436830887
Original,2025-05-13,0.024317776875491595,0.007248224304822415,0.01706955257066918
Original,2025-05-14,-0.00440672730017436,0.001024369112638146,-0.005431096412812506
Original,2025-05-15,-0.003616600684925237,0.004132315556174104,-0.007748916241099342
Original,2025-05-16,0.006075447928192467,0.0070053220166539365,-0.0009298740884614697
Original,2025-05-19,-0.002697692568864576,0.000876077054501545,-0.003573769623366121
Original,2025-05-20,-0.0027640646905600927,-0.0038802065866255786,0.0011161418960654859
Original,2025-05-21,-0.02175598350852789,-0.016135114115741978,-0.005620869392785912
Original,2025-05-22,-0.0016153270505262051,-0.0004448543187653975,-0.0011704727317608076
Original,2025-05-23,0.001935078704442805,-0.006708307585916562,0.008643386290359368
Original,2025-05-27,0.027912131577252593,0.020459018201495205,0.007453113375757388
Original,2025-05-28,-0.005475548293889579,-0.005571185873944895,9.563758005531626e-05
Original,2025-05-29,0.0008191654234105661,0.004011174227950942,-0.003192008804540376
Original,2025-05-30,-0.010134846653878996,-8.118846379590039e-05,-0.010053658190083095
Original,2025-06-02,0.013419306620463313,0.00410204188649943,0.009317264733963883
Original,2025-06-03,0.01876993654119581,0.005800260784307065,0.012969675756888746
Original,2025-06-04,0.0066140897969516575,7.369727504324963e-05,0.006540392521908408
Original,2025-06-05,-0.00792705229508878,-0.005277340930292529,-0.0026497113647962513
Original,2025-06-06,0.009986738022287483,0.010280672806559643,-0.00029393478427216027
Original,2025-06-09,0.011038200416372188,0.0009199448033119229,0.010118255613060265
Original,2025-06-10,0.00468493240503634,0.005482960032501483,-0.000798027627465143
Original,2025-06-11,-0.0034566062121911315,-0.002743918089822439,-0.0007126881223686924
Original,2025-06-12,0.00460344389282279,0.0038224979409655635,0.0007809459518572266
Original,2025-06-13,-0.014434420364143835,-0.01129645375054178,-0.0031379666136020553
Original,2025-06-16,0.02486850011923287,0.009392719053299414,0.015475781065933454
Original,2025-06-17,-0.007768039432623839,-0.008352242873078675,0.000584203440454836
Original,2025-06-18,0.003981645826071016,-0.00030922389816012696,0.004290869724231143
Original,2025-06-20,-0.006177553343462953,-0.002178612810510794,-0.003998940532952159
Original,2025-06-23,0.013651160056923852,0.009606490790637912,0.00404466926628594
Original,2025-06-24,0.024563354689591466,0.011121677894565751,0.013441676795025715
Original,2025-06-25,-0.0007614899037327263,-3.282897091061443e-06,-0.0007582070066416649
Original,2025-06-26,0.017255718650317713,0.008020143922681022,0.00923557472763669
Original,2025-06-27,0.0007402571221190254,0.005219002706390752,-0.004478745584271727
Original,2025-06-30,0.0005018248322595164,0.0051643671625301035,-0.004662542330270587
Original,2025-07-01,-0.0020422360600296985,-0.0011184618731818752,-0.0009237741868478233
Original,2025-07-02,0.016458210443999484,0.004745071401949907,0.011713139042049577
Original,2025-07-03,0.0060187140271893555,0.00833892687501403,-0.0023202128478246745
Original,2025-07-07,-0.009573198235362923,-0.00786227873904155,-0.0017109194963213729
Original,2025-07-08,0.005447341374169792,-0.0007158931489344988,0.006163234523104291
Original,2025-07-09,0.011478461997025166,0.0060621442064277,0.005416317790597466
Original,2025-07-10,0.010130351424278868,0.00274617371784025,0.007384177706438618
Original,2025-07-11,-0.003068780488021763,-0.0032975291618766445,0.0002287486738548816
Original,2025-07-14,0.0011015321728773402,0.0014074044490595128,-0.0003058722761821726
Original,2025-07-15,-0.004197102581684526,-0.003956251515499609,-0.00024085106618491718
Original,2025-07-16,-0.0009981355796966215,0.003193588478737075,-0.004191724058433696
Original,2025-07-17,0.008631668586584831,0.005373820585277134,0.0032578480013076977
Original,2025-07-18,0.0068539133462715675,-9.051412020266714e-05,0.006944427466474235
Original,2025-07-21,0.0013244081377014408,0.0013991255862113583,-7.471744850991754e-05
Original,2025-07-22,-0.0042103960624543125,0.0006375285460542557,-0.004847924608508568
Original,2025-07-23,0.01840010804483018,0.007811880905664648,0.010588227139165532
Original,2025-07-24,0.002535963809831632,0.000698232873244109,0.001837730936587523
Original,2025-07-25,0.012195074242293168,0.003974321701619488,0.00822075254067368
Original,2025-07-28,-0.0020555903634534543,0.00017687645570885202,-0.0022324668191623064
Original,2025-07-29,0.001445671695246693,-0.0029594179446209568,0.004405089639867649
Original,2025-07-30,0.005875613768865206,-0.001249438851269713,0.007125052620134919
Original,2025-07-31,0.013909415019922256,-0.0036948561190650597,0.017604271138987316
Original,2025-08-01,-0.012826629781258661,-0.01599207494727417,0.0031654451660155097
Original,2025-08-04,0.021014560168041294,0.01473707159815385,0.006277488569887444
Original,2025-08-05,-0.007980299104421853,-0.004857865951336082,-0.0031224331530857706
Original,2025-08-06,-0.002154359071879313,0.007281888623775545,-0.009436247695654858
Original,2025-08-07,0.009331682127800656,-0.0007974707882983934,0.01012915291609905
Original,2025-08-08,0.017620834952025516,0.007799684542586727,0.00982115040943879
Original,2025-08-11,-0.0002901453821344322,-0.002504127898332431,0.002213982516197999
Original,2025-08-12,0.024004549321228006,0.011345503612643082,0.012659045708584924
Original,2025-08-13,0.0031709275789310663,0.0032300302834731287,-5.910270454206239e-05
Original,2025-08-14,-0.004551172128951704,0.00030309684562790373,-0.004854268974579608
Original,2025-08-15,-0.010372868229823105,-0.0028970988816641174,-0.007475769348158988
Original,2025-08-18,0.006983919610334061,-0.00010077831870769494,0.007084697929041756
Original,2025-08-19,-0.010763829854002144,-0.005858136343549147,-0.004905693510452997
Original,2025-08-20,-0.010302307895300514,-0.002431617579394141,-0.007870690315906374
Original,2025-08-21,0.0010724726502967339,-0.00400420277120217,0.005076675421498904
Original,2025-08-22,0.025674405180313557,0.01518640789806236,0.010487997282251197
Original,2025-08-25,0.0034579487974961687,-0.0042663343080389105,0.007724283105535079
Original,2025-08-26,0.010873210799772227,0.004133976879546308,0.006739233920225919
Original,2025-08-27,0.007704633851416296,0.002390990327779008,0.005313643523637288
Original,2025-08-28,0.014688996814124177,0.003156725398833604,0.011532271415290573
Original,2025-08-29,-0.016496150142349265,-0.0063981691392923645,-0.010097981003056901
Original,2025-09-02,-0.0046154431072941374,-0.006922322011807647,0.0023068789045135093
Original,2025-09-03,0.007713471468281893,0.005100116280157385,0.0026133551881245077
Original,2025-09-04,0.02938213752551965,0.00834643764364329,0.02103569988187636
Original,2025-09-05,0.005428241124973322,-0.003165141001033489,0.008593382126006811
Original,2025-09-08,0.009303102509950239,0.0021059939828742547,0.007197108527075984
Original,2025-09-09,-0.001354572261008698,0.0026881596267984698,-0.004042731887807168
Original,2025-09-10,0.02434532087856355,0.0029834428900241683,0.02136187798853938
Original,2025-09-11,0.01727520543607726,0.008485863528086224,0.008789341907991036
Original,2025-09-12,0.0021565789316633044,-0.0004827346462299431,0.0026393135778932475
Original,2025-09-15,0.02092519908579766,0.004706657817319604,0.016218541268478055
Original,2025-09-16,0.0010712733934427647,-0.00128792734396721,0.0023592007374099748
Original,2025-09-17,6.17600687585941e-05,-0.0009702183823840915,0.0010319784511426857
Original,2025-09-18,0.03136177862724763,0.004789139969850087,0.026572638657397542
Original,2025-09-19,0.006900412048581854,0.004885433567150432,0.0020149784814314214
Original,2025-09-22,0.014670851001801908,0.004410025868950784,0.010260825132851124
Original,2025-09-23,0.0012741483940323355,-0.005502147525676904,0.006776295919709239
Original,2025-09-24,-0.013382129156773503,-0.002846661819580154,-0.01053546733719335
Original,2025-09-25,-0.010190509803933873,-0.005009061505249379,-0.005181448298684494
Original,2025-09-26,0.012227066610604239,0.00590183989631643,0.006325226714287809
Original,2025-09-29,0.018259052455548895,0.0026355795716241914,0.015623472883924704
Original,2025-09-30,0.010562043997892895,0.0040908483593822265,0.006471195638510669
Original,2025-10-01,0.03338500048839749,0.0033998857734067744,0.029985114714990713
Original,2025-10-02,0.006007726254979598,0.0006183692931220897,0.005389356961857508
Original,2025-10-03,0.0012432331765342747,6.552152903416264e-05,0.001177711647500112
Original,2025-10-06,0.007193197407206484,0.0036466298082578064,0.0035465675989486776
