Portfolio,Ticker,Weight,Proxy Weight,Active Weight,Proxy TE Variance Contribution Daily,MCAR to TE,Proxy TE Contribution Daily,Proxy TE Variance Contribution Pct
Minimum_TE,MU,0.0,0.007919799498746926,-0.007919799498746926,0.0,0.014506364526197704,-0.00011488749850322076,0.0
MVO,SNDK,0.09999999999999508,0.0016040100250626277,0.09839598997493246,6.771922907135419e-05,0.04488788655533985,0.0044167880354951256,0.2975406523428943
MVO,WDC,0.0999999999999988,0.0016040100250626277,0.09839598997493618,4.307995201600692e-05,0.028555670603786176,0.0028097634784577242,0.18928208725231074
MVO,STX,0.09999999999999976,0.0015037593984962136,0.09849624060150354,3.924936638692882e-05,0.02601655585725817,0.002562532945338957,0.1724514918282211
MVO,MU,0.09999999999999797,0.007919799498746926,0.09208020050125104,3.780947044717819e-05,0.025062116675340078,0.0023077247284510613,0.1661249641477618
MVO,FIX,0.09801113110268533,0.0009022556390977282,0.09710887546358761,3.128985733593404e-05,0.02116144570857413,0.002054964195943396,0.13747948243238525
MVO,GLW,0.09999999999999976,0.0020050125313282848,0.09799498746867147,2.4670417140469078e-05,0.016352857246903843,0.0016024980409873155,0.10839538651292124
MVO,NEM,0.084168973618843,0.002406015037593942,0.08176295858124906,1.3846998989197101e-05,0.010904877265230548,0.0008916150281706498,0.06084010655076871
MVO,HII,0.09999999999999976,0.00030075187969924274,0.09969924812030051,1.1727250423219618e-05,0.007773441809989467,0.0007750063037628577,0.051526483525626346
MVO,CHRW,0.09999999999999976,0.0004010025062656569,0.0995989974937341,9.152281088936615e-06,0.006066615950542959,0.0006042288668535755,0.04021273902510597
MVO,FITB,0.09999999999999976,0.0008020050125313138,0.09919799498746844,6.941436278201011e-06,0.004601151083079836,0.00045642496207593853,0.030498862830176925
MVO,CIEN,0.008327272254925402,0.0008020050125313138,0.007525267242394088,2.4496470187756678e-06,0.019499249586027785,0.00014673706416100136,0.010763110891418232
MVO,KEYS,0.009492623023547161,0.0009022556390977282,0.008590367384449432,1.392616116683518e-06,0.009724389269119452,8.353607641113379e-05,0.0061187924538337645
