Date,Portfolio,Factor,Total Variance Contribution Daily,Total Variance Contribution Pct
2025-04-30,Minimum_TE,Sector_Basic_Materials,5.704484219204265e-07,0.003184313465317684
2025-04-30,Minimum_TE,Sector_Communication_Services,-2.7266991184637085e-07,-0.0015220770862269149
2025-04-30,Minimum_TE,Sector_Consumer_Cyclical,-8.921125190045958e-07,-0.004979882137777356
2025-04-30,Minimum_TE,Sector_Consumer_Defensive,-1.7377741677883447e-06,-0.00970046978750615
2025-04-30,Minimum_TE,Sector_Energy,1.5572423157495252e-06,0.008692718717864058
2025-04-30,Minimum_TE,Sector_Financial_Services,5.04093533538859e-06,0.028139122924092746
2025-04-30,Minimum_TE,Sector_Healthcare,-2.266904166933281e-06,-0.012654138719586726
2025-04-30,Minimum_TE,Sector_Industrials,1.313998150657176e-06,0.007334899780166004
2025-04-30,Minimum_TE,Sector_Real_Estate,1.7672761941516433e-06,0.009865153738224334
2025-04-30,Minimum_TE,Sector_Technology,-4.92745204371554e-06,-0.02750564518995068
2025-04-30,Minimum_TE,Sector_Utilities,2.1688184168924125e-06,0.0121066119623745
2025-04-30,Minimum_TE,Size,8.133908949840834e-07,0.004540448320892925
2025-04-30,Minimum_TE,Nonlinear_Size,-3.282478688877712e-07,-0.0018323200988834844
2025-04-30,Minimum_TE,Momentum,2.418550127705051e-07,0.0013500645180628253
2025-04-30,Minimum_TE,Residual_Volatility,8.570784290872922e-07,0.004784317525830051
2025-04-30,Minimum_TE,Liquidity,2.9172100614863386e-07,0.0016284226448867222
2025-04-30,Minimum_TE,Book_to_Price,5.4196154240560276e-08,0.0003025296189542681
2025-04-30,Minimum_TE,Earnings_Yield,1.5519497556274012e-06,0.00866317499433837
2025-04-30,Minimum_TE,Leverage,2.658998889372889e-07,0.001484285983155188
2025-04-30,Minimum_TE,Dividend_Yield,-3.550813913939789e-08,-0.00019821081318677206
2025-04-30,MVO,Market,0.0002669829899135549,0.8223478992544115
2025-04-30,MVO,Sector_Basic_Materials,-2.2569228252823284e-06,-0.006951662893397033
2025-04-30,MVO,Sector_Communication_Services,1.5706444625761918e-06,0.004837821970206085
2025-04-30,MVO,Sector_Consumer_Cyclical,7.4943832163552955e-06,0.023083831281434
2025-04-30,MVO,Sector_Consumer_Defensive,-1.0495040617057786e-05,-0.03232630890388052
