Date,Portfolio,Predicted Total Risk,Predicted Proxy Tracking Error,Systematic Risk,Idiosyncratic Risk,Proxy Active Systematic Risk,Proxy Active Idiosyncratic Risk,Proxy Benchmark Idiosyncratic Variance Daily,Turnover
2019-12-31,Original,0.20276749367552643,0.11563793655762473,0.19626611845496783,0.0509339497592243,0.10368440358226116,0.05120231269284655,7.664313848008459e-07,0.47368421052631576
2019-12-31,Minimum_TE,0.14852146929592355,0.06908040806094888,0.13980876164887063,0.05012122312982042,0.046653711365031825,0.05094638351969168,7.664313848008459e-07,0.5991184657076652
2019-12-31,MVO,0.17079531014211533,0.09379127516177951,0.1561532284362047,0.06918964673628447,0.06295323940073737,0.06952476497929413,7.664313848008459e-07,0.6
2020-01-31,Original,0.16293403632432923,0.07687544584929519,0.15647818653809165,0.04541010163705912,0.06256560742910483,0.0446696646680391,7.901927632110825e-07,0.5263157894736842
2020-01-31,Minimum_TE,0.12804731818101217,0.049308683896710705,0.12173645472802723,0.03970329058907266,0.03175521830072642,0.037722041544685087,7.901927632110825e-07,0.7037720169811553
2020-01-31,MVO,0.16293403632433032,0.08219462433582528,0.15048624401436755,0.06246111234509371,0.05510914576336716,0.06098309866626484,7.901927632110825e-07,0.7166975957742764
2020-02-29,Original,0.17555579774257724,0.07848274026443178,0.16942851227893327,0.04597626940042051,0.06357984253515789,0.04601243465215451,8.165087549666748e-07,0.5263157894736842
2020-02-29,Minimum_TE,0.14987922992252906,0.05875429546186964,0.14308398603604364,0.044617894417011555,0.038473107247705036,0.044405937147269633,8.165087549666748e-07,0.660185557616783
2020-02-29,MVO,0.17555579774257768,0.08089540108001908,0.1631918010778286,0.06471687710332798,0.04960323235508625,0.06390293620659755,8.165087549666748e-07,0.6408294475099192
2020-03-31,Original,0.3287653607729316,0.09600952803671141,0.3241852841727076,0.05468604913519261,0.07888923375748559,0.054720364317033476,1.0982091938775741e-06,0.7
2020-03-31,Minimum_TE,0.30179818915296736,0.05316957981803788,0.29853617929363563,0.04425264544373006,0.030437265818250347,0.043595608351482726,1.0982091938775741e-06,0.7257279244661179
2020-03-31,MVO,0.3287653607760272,0.12817808085813368,0.31806212947193446,0.08320543396900085,0.09761332911482933,0.08307381291113503,1.0982091938775741e-06,0.6000000000000034
2020-04-30,Original,0.45703618808005864,0.2309523428662361,0.45111782569270803,0.07331292216952094,0.21902734986531572,0.073253018274881,1.191456315012473e-06,0.5
2020-04-30,Minimum_TE,0.3328948238280606,0.08919346747742105,0.3256227635941153,0.0692010083802717,0.05716253487832425,0.06846838136636596,1.191456315012473e-06,0.7109318963491573
2020-04-30,MVO,0.45703618808005864,0.24458485134891172,0.4439455064764257,0.10860232269219923,0.2191230301456067,0.1086593169920407,1.191456315012473e-06,0.33392415941870934
2020-05-31,Original,0.4399174095791425,0.1900637700131228,0.4336097808002867,0.07422860126090447,0.17488235688602746,0.0744338492998271,1.2282531830341056e-06,0.35
2020-05-31,Minimum_TE,0.3423747169323858,0.08414445718105616,0.33559868560712064,0.06777882422485837,0.049666063075360596,0.06792327916766751,1.2282531830341056e-06,0.46480771090476786
2020-05-31,MVO,0.4399174095791427,0.22011477148263775,0.42747246284817914,0.10389716433731613,0.1939856234408609,0.10401966411748477,1.2282531830341056e-06,0.5114905737279474
2020-06-30,Original,0.47412976053128003,0.23666764421595712,0.4682498951896125,0.07443833337982374,0.2245411011064707,0.07478547808648806,1.3802687162898773e-06,0.3
2020-06-30,Minimum_TE,0.35021008355034894,0.09543547562492927,0.34287199409456603,0.0713154841949364,0.06305710298458146,0.07163610661494911,1.3802687162898773e-06,0.4259192408500075
2020-06-30,MVO,0.47412976053140876,0.2578005666030742,0.4614431387671825,0.10894613121291555,0.23368749216893858,0.10886362176897454,1.3802687162898773e-06,0.33312960794981034
2020-07-31,Original,0.45650191590604516,0.19317916503887828,0.4500108438307583,0.076708797804547,0.17757117996400118,0.0760701377106054,1.6504268476961552e-06,0.45
2020-07-31,Minimum_TE,0.36431124393486436,0.09930578805831582,0.3570268058297439,0.07248822232872427,0.06966584747012516,0.0707694089148157,1.6504268476961552e-06,0.668451102133529
2020-07-31,MVO,0.4565019159088523,0.20825591560449,0.44382908510481217,0.10681639594874127,0.17954226935793127,0.10552298279554324,1.6504268476961552e-06,0.4692058456062932
2020-08-31,Original,0.4687177108679134,0.2119515685592497,0.4622998705104218,0.0772989146579954,0.1985680104253123,0.0741229562987027,2.0299613572422645e-06,0.4
2020-08-31,Minimum_TE,0.36349390038472984,0.09787615582859537,0.3558291021689944,0.0742527148763685,0.07115031223509155,0.067211419778431,2.0299613572422645e-06,0.6240624472629406
2020-08-31,MVO,0.4687177108680928,0.22635057200583547,0.45818906153099603,0.09878803760967278,0.2062161035125955,0.0933247025146687,2.0299613572422645e-06,0.40055941417834195
2020-09-30,Original,0.43613831181070745,0.15541410983955156,0.4310925495878552,0.06615013770912732,0.14173714400833015,0.06375051015938685,1.978352642901464e-06,0.45000000000000007
2020-09-30,Minimum_TE,0.35968269168394534,0.09002426527370512,0.3529606747420573,0.06921272124862411,0.0632293232864675,0.06408136246059232,1.978352642901464e-06,0.628932204369122
2020-09-30,MVO,0.4361383118107308,0.16467478145931563,0.4281606729525186,0.08303652910593429,0.1451104855586241,0.0778506944709789,1.978352642901464e-06,0.47685079463171054
2020-10-31,Original,0.41846340889731815,0.15751384804883034,0.4114689484743477,0.07619008483640569,0.13798044112195337,0.07597374674807854,2.011150594582538e-06,0.5
2020-10-31,Minimum_TE,0.34941289661144703,0.08761191232085244,0.3417674221590929,0.07269388880181171,0.05120418508808559,0.07109133990847134,2.011150594582538e-06,0.5866509379787274
2020-10-31,MVO,0.3785895658875979,0.13890146582778468,0.3653913616786115,0.09909193816658315,0.09917752416215767,0.09724934915037667,2.011150594582538e-06,0.46655254990385253
2020-11-30,Original,0.49262473273632856,0.22839005234803614,0.48621450210309725,0.07921227965521757,0.214029498865237,0.07970815282663501,1.9941801909167444e-06,0.5
2020-11-30,Minimum_TE,0.3722557872631774,0.09245319881776073,0.364619452617427,0.07501350494341588,0.05448737063413275,0.07469083218852929,1.9941801909167444e-06,0.5460542191235629
2020-11-30,MVO,0.49262473273632346,0.23530550060276934,0.4793766255584303,0.11347765494469213,0.20613779447145655,0.11347197144829825,1.9941801909167444e-06,0.600000000000027
2020-12-31,Original,0.5165656513808724,0.2519681292737146,0.5095044518490361,0.08511924419635222,0.23812431431204661,0.08236958846026238,2.5735332119099424e-06,0.35
2020-12-31,Minimum_TE,0.38627650543214315,0.10253006491492533,0.3775190319359631,0.08178581279783073,0.06297498036833253,0.08091085254196086,2.5735332119099424e-06,0.4256097537295153
