Date,Portfolio,Ticker,Weight
2019-12-31,Minimum_TE,ODFL,0.1
2019-12-31,Minimum_TE,CPRT,0.1
2019-12-31,Minimum_TE,WRB,0.1
2019-12-31,Minimum_TE,CDW,0.1
2019-12-31,Minimum_TE,LYV,0.09420290677369977
2019-12-31,Minimum_TE,TGT,0.06712417242286083
2019-12-31,Minimum_TE,EW,0.0652240434135231
2019-12-31,Minimum_TE,NVDA,0.03786110399419181
2019-12-31,Minimum_TE,KLAC,0.03229018330302625
2019-12-31,Minimum_TE,SWKS,0.03140887880955433
2019-12-31,Minimum_TE,ZBRA,0.024474395731733354
2019-12-31,Minimum_TE,AMAT,0.022141035730103013
2019-12-31,Minimum_TE,KEYS,0.013844430098263721
2019-12-31,Minimum_TE,LRCX,0.009323810729128782
2019-12-31,Minimum_TE,MU,0.002105038993914977
2019-12-31,Minimum_TE,WDC,0.0
2019-12-31,Minimum_TE,AMD,0.0
2019-12-31,MVO,DHR,0.1
2019-12-31,MVO,ZBRA,0.1
2019-12-31,MVO,WRB,0.1
2019-12-31,MVO,CPRT,0.1
2019-12-31,MVO,ODFL,0.1
2019-12-31,MVO,LRCX,0.1
2019-12-31,MVO,LYV,0.1
2019-12-31,MVO,TGT,0.1
2019-12-31,MVO,STE,0.1
2019-12-31,MVO,AMD,0.1
2019-12-31,MVO,CDW,0.0
2019-12-31,MVO,WDC,0.0
2019-12-31,MVO,SWKS,0.0
2019-12-31,MVO,KLAC,0.0
2019-12-31,MVO,MU,0.0
2019-12-31,MVO,AMAT,0.0
2019-12-31,MVO,EW,0.0
2019-12-31,MVO,NVDA,0.0
2019-12-31,MVO,KEYS,0.0
2020-01-31,Original,PAYC,0.05263157894736842
2020-01-31,Original,CPRT,0.05263157894736842
2020-01-31,Original,LEN,0.05263157894736842
2020-01-31,Original,CDW,0.05263157894736842
2020-01-31,Original,EW,0.05263157894736842
2020-01-31,Original,LMT,0.05263157894736842
2020-01-31,Original,NVDA,0.05263157894736842
2020-01-31,Original,NOW,0.05263157894736842
2020-01-31,Original,WDC,0.05263157894736842
2020-01-31,Original,EVRG,0.05263157894736842
2020-01-31,Original,AMD,0.05263157894736842
2020-01-31,Original,TDG,0.05263157894736842
2020-01-31,Original,AMCR,0.05263157894736842
2020-01-31,Original,AAPL,0.05263157894736842
2020-01-31,Original,LRCX,0.05263157894736842
2020-01-31,Original,MSFT,0.05263157894736842
2020-01-31,Original,SWKS,0.05263157894736842
2020-01-31,Original,TGT,0.05263157894736842
2020-01-31,Original,ESS,0.05263157894736842
2020-01-31,Minimum_TE,EVRG,0.1
2020-01-31,Minimum_TE,MSFT,0.1
2020-01-31,Minimum_TE,LMT,0.1
2020-01-31,Minimum_TE,AAPL,0.1
2020-01-31,Minimum_TE,ESS,0.1
2020-01-31,Minimum_TE,AMCR,0.09001857597808414
2020-01-31,Minimum_TE,CPRT,0.07364565876219144
2020-01-31,Minimum_TE,CDW,0.0586565048215409
2020-01-31,Minimum_TE,NVDA,0.055436503936041014
2020-01-31,Minimum_TE,EW,0.05144412777038003
2020-01-31,Minimum_TE,TGT,0.03549294927492755
2020-01-31,Minimum_TE,SWKS,0.02980382766648411
2020-01-31,Minimum_TE,TDG,0.028682541268987675
2020-01-31,Minimum_TE,LEN,0.023373981773681177
2020-01-31,Minimum_TE,NOW,0.019738426056963024
2020-01-31,Minimum_TE,LRCX,0.01563039224335779
2020-01-31,Minimum_TE,AMD,0.011605896004929334
2020-01-31,Minimum_TE,WDC,0.006470614442431726
2020-01-31,Minimum_TE,PAYC,3.811070601034174e-19
2020-01-31,MVO,PAYC,0.1000000000000001
2020-01-31,MVO,MSFT,0.1000000000000001
2020-01-31,MVO,AMD,0.1000000000000001
2020-01-31,MVO,AAPL,0.1000000000000001
2020-01-31,MVO,EVRG,0.1000000000000001
2020-01-31,MVO,SWKS,0.1000000000000001
2020-01-31,MVO,TGT,0.1000000000000001
2020-01-31,MVO,AMCR,0.09999999999999976
2020-01-31,MVO,TDG,0.08023177994114081
2020-01-31,MVO,CPRT,0.05044295640236959
2020-01-31,MVO,ESS,0.036465815833135067
2020-01-31,MVO,LRCX,0.032859447823353996
2020-01-31,MVO,WDC,0.0
2020-01-31,MVO,NOW,0.0
2020-01-31,MVO,NVDA,0.0
2020-01-31,MVO,LMT,0.0
2020-01-31,MVO,EW,0.0
2020-01-31,MVO,CDW,0.0
2020-01-31,MVO,LEN,0.0
2020-02-29,Original,GILD,0.05263157894736842
2020-02-29,Original,PAYC,0.05263157894736842
2020-02-29,Original,STE,0.05263157894736842
2020-02-29,Original,TDG,0.05263157894736842
2020-02-29,Original,SNPS,0.05263157894736842
2020-02-29,Original,RMD,0.05263157894736842
2020-02-29,Original,KEYS,0.05263157894736842
2020-02-29,Original,CPRT,0.05263157894736842
2020-02-29,Original,TGT,0.05263157894736842
2020-02-29,Original,AMAT,0.05263157894736842
2020-02-29,Original,AMD,0.05263157894736842
2020-02-29,Original,TMUS,0.05263157894736842
2020-02-29,Original,ICE,0.05263157894736842
2020-02-29,Original,PLD,0.05263157894736842
2020-02-29,Original,LRCX,0.05263157894736842
2020-02-29,Original,NVDA,0.05263157894736842
2020-02-29,Original,MSFT,0.05263157894736842
2020-02-29,Original,MCK,0.05263157894736842
2020-02-29,Original,EW,0.05263157894736842
2020-02-29,Minimum_TE,CPRT,0.10000000000000002
2020-02-29,Minimum_TE,MSFT,0.10000000000000002
2020-02-29,Minimum_TE,PLD,0.10000000000000002
2020-02-29,Minimum_TE,ICE,0.10000000000000002
2020-02-29,Minimum_TE,GILD,0.08532191087576725
2020-02-29,Minimum_TE,TMUS,0.08470533383753133
2020-02-29,Minimum_TE,NVDA,0.05922609862698111
2020-02-29,Minimum_TE,MCK,0.050022783944355304
2020-02-29,Minimum_TE,STE,0.04949430652357066
2020-02-29,Minimum_TE,TDG,0.04455208022588885
2020-02-29,Minimum_TE,TGT,0.04438594948578402
2020-02-29,Minimum_TE,RMD,0.035297479463172826
2020-02-29,Minimum_TE,AMAT,0.03398690832938438
2020-02-29,Minimum_TE,LRCX,0.03143174635157418
2020-02-29,Minimum_TE,SNPS,0.02747158832681576
2020-02-29,Minimum_TE,KEYS,0.023177417111462817
2020-02-29,Minimum_TE,EW,0.022027352940579042
2020-02-29,Minimum_TE,AMD,0.008899043957132518
2020-02-29,Minimum_TE,PAYC,4.16332725742733e-18
2020-02-29,MVO,PLD,0.09999999999999987
2020-02-29,MVO,ICE,0.09999999999999987
2020-02-29,MVO,MSFT,0.09999999999999978
2020-02-29,MVO,NVDA,0.09999999999999948
2020-02-29,MVO,GILD,0.09999999999999946
2020-02-29,MVO,MCK,0.0999999999999993
2020-02-29,MVO,TMUS,0.09999999999999917
2020-02-29,MVO,AMD,0.099999999999998
2020-02-29,MVO,TGT,0.09698755880696712
2020-02-29,MVO,LRCX,0.07368889533327379
2020-02-29,MVO,CPRT,0.029323545859761234
2020-02-29,MVO,KEYS,1.007725658130301e-15
2020-02-29,MVO,RMD,9.521371353466575e-16
2020-02-29,MVO,PAYC,6.417384200510019e-16
2020-02-29,MVO,SNPS,3.970204177942136e-16
2020-02-29,MVO,AMAT,1.8101574067975577e-17
2020-02-29,MVO,TDG,0.0
2020-02-29,MVO,STE,0.0
2020-02-29,MVO,EW,0.0
2020-03-31,Original,NCLH,0.05
2020-03-31,Original,DAL,0.05
2020-03-31,Original,MDT,0.05
2020-03-31,Original,COST,0.05
2020-03-31,Original,RMD,0.05
2020-03-31,Original,SPGI,0.05
2020-03-31,Original,BIIB,0.05
2020-03-31,Original,NVDA,0.05
2020-03-31,Original,EQIX,0.05
2020-03-31,Original,REGN,0.05
2020-03-31,Original,CLX,0.05
2020-03-31,Original,DLR,0.05
2020-03-31,Original,MGM,0.05
2020-03-31,Original,MSFT,0.05
2020-03-31,Original,RCL,0.05
2020-03-31,Original,AMD,0.05
2020-03-31,Original,MCK,0.05
2020-03-31,Original,GILD,0.05
2020-03-31,Original,UAL,0.05
2020-03-31,Original,ABT,0.05
2020-03-31,Minimum_TE,ABT,0.09999999999999998
2020-03-31,Minimum_TE,MSFT,0.09999999999999998
2020-03-31,Minimum_TE,COST,0.09999999999999998
2020-03-31,Minimum_TE,MDT,0.08789867517263769
2020-03-31,Minimum_TE,SPGI,0.08235546251495175
2020-03-31,Minimum_TE,NVDA,0.07558034849765294
2020-03-31,Minimum_TE,DLR,0.06448121752766137
2020-03-31,Minimum_TE,CLX,0.06118909056037084
2020-03-31,Minimum_TE,EQIX,0.04870908492336835
2020-03-31,Minimum_TE,GILD,0.04544876454764773
2020-03-31,Minimum_TE,MGM,0.03998949020700065
2020-03-31,Minimum_TE,RMD,0.03200009659407249
2020-03-31,Minimum_TE,BIIB,0.030357921601772565
2020-03-31,Minimum_TE,MCK,0.028698071808048287
2020-03-31,Minimum_TE,AMD,0.020985793675537247
2020-03-31,Minimum_TE,UAL,0.019762132932692918
2020-03-31,Minimum_TE,RCL,0.01768436216343929
2020-03-31,Minimum_TE,DAL,0.0166830646283199
2020-03-31,Minimum_TE,REGN,0.015891938245475377
2020-03-31,Minimum_TE,NCLH,0.012284484399350516
2020-03-31,MVO,CLX,0.10000000000000112
2020-03-31,MVO,DLR,0.10000000000000112
2020-03-31,MVO,GILD,0.10000000000000112
2020-03-31,MVO,MCK,0.10000000000000112
2020-03-31,MVO,AMD,0.10000000000000112
2020-03-31,MVO,MSFT,0.10000000000000112
2020-03-31,MVO,UAL,0.1000000000000011
2020-03-31,MVO,DAL,0.1000000000000011
2020-03-31,MVO,NCLH,0.09999999999999724
2020-03-31,MVO,REGN,0.08864708686062404
2020-03-31,MVO,RCL,0.011352913139369723
2020-03-31,MVO,BIIB,2.113787052597988e-18
2020-03-31,MVO,EQIX,5.277510453271437e-19
2020-03-31,MVO,MGM,0.0
2020-03-31,MVO,NVDA,0.0
2020-03-31,MVO,SPGI,0.0
2020-03-31,MVO,RMD,0.0
2020-03-31,MVO,COST,0.0
2020-03-31,MVO,MDT,0.0
2020-03-31,MVO,ABT,0.0
2020-04-30,Original,UAL,0.05
2020-04-30,Original,NCLH,0.05
2020-04-30,Original,TGT,0.05
2020-04-30,Original,OKE,0.05
2020-04-30,Original,BA,0.05
2020-04-30,Original,CMG,0.05
2020-04-30,Original,DGX,0.05
2020-04-30,Original,REGN,0.05
2020-04-30,Original,NVDA,0.05
2020-04-30,Original,VRTX,0.05
2020-04-30,Original,MSFT,0.05
2020-04-30,Original,LUV,0.05
2020-04-30,Original,CCL,0.05
2020-04-30,Original,AMD,0.05
2020-04-30,Original,RCL,0.05
2020-04-30,Original,MGM,0.05
2020-04-30,Original,APA,0.05
2020-04-30,Original,GILD,0.05
2020-04-30,Original,DAL,0.05
2020-04-30,Original,LRCX,0.05
2020-04-30,Minimum_TE,MSFT,0.1
2020-04-30,Minimum_TE,GILD,0.1
2020-04-30,Minimum_TE,DGX,0.1
2020-04-30,Minimum_TE,REGN,0.1
2020-04-30,Minimum_TE,VRTX,0.1
2020-04-30,Minimum_TE,LUV,0.09551182339987878
2020-04-30,Minimum_TE,TGT,0.09270388403326384
2020-04-30,Minimum_TE,NVDA,0.061369645904998216
2020-04-30,Minimum_TE,LRCX,0.05775295106910859
2020-04-30,Minimum_TE,CMG,0.0372246388651063
2020-04-30,Minimum_TE,BA,0.03609968638740032
2020-04-30,Minimum_TE,DAL,0.0326518007430265
2020-04-30,Minimum_TE,MGM,0.028688896648864055
2020-04-30,Minimum_TE,AMD,0.02651374474859568
2020-04-30,Minimum_TE,OKE,0.022482884251802976
2020-04-30,Minimum_TE,APA,0.009000043947954678
2020-04-30,Minimum_TE,UAL,3.694413923992006e-18
2020-04-30,Minimum_TE,RCL,7.986664532902163e-19
2020-04-30,Minimum_TE,CCL,0.0
2020-04-30,Minimum_TE,NCLH,0.0
2020-04-30,MVO,UAL,0.10000000000000107
2020-04-30,MVO,DAL,0.10000000000000107
2020-04-30,MVO,GILD,0.10000000000000107
2020-04-30,MVO,APA,0.10000000000000107
2020-04-30,MVO,AMD,0.09999999999999934
2020-04-30,MVO,REGN,0.09999999999999933
2020-04-30,MVO,MGM,0.09999999999999867
2020-04-30,MVO,VRTX,0.09999999999999738
2020-04-30,MVO,NCLH,0.09999999999999709
2020-04-30,MVO,MSFT,0.06607584058129726
2020-04-30,MVO,LUV,0.02163903422185192
2020-04-30,MVO,RCL,0.012285125196847683
2020-04-30,MVO,NVDA,1.8813235389063746e-15
2020-04-30,MVO,CMG,1.5640536346391381e-15
2020-04-30,MVO,OKE,1.30834447059188e-15
2020-04-30,MVO,BA,1.0880528992101862e-15
2020-04-30,MVO,TGT,1.0401787926232423e-15
2020-04-30,MVO,DGX,2.524872390711971e-16
2020-04-30,MVO,CCL,0.0
2020-04-30,MVO,LRCX,0.0
2020-05-31,Original,NCLH,0.05
2020-05-31,Original,UAL,0.05
2020-05-31,Original,GILD,0.05
2020-05-31,Original,MU,0.05
2020-05-31,Original,AMAT,0.05
2020-05-31,Original,VRTX,0.05
2020-05-31,Original,FTNT,0.05
2020-05-31,Original,LRCX,0.05
2020-05-31,Original,RCL,0.05
2020-05-31,Original,AMD,0.05
2020-05-31,Original,ECL,0.05
2020-05-31,Original,BLK,0.05
2020-05-31,Original,DAL,0.05
2020-05-31,Original,LUV,0.05
2020-05-31,Original,REGN,0.05
2020-05-31,Original,MGM,0.05
2020-05-31,Original,NVDA,0.05
2020-05-31,Original,WST,0.05
2020-05-31,Original,DXCM,0.05
2020-05-31,Original,APA,0.05
2020-05-31,Minimum_TE,ECL,0.10000000000000002
2020-05-31,Minimum_TE,VRTX,0.10000000000000002
2020-05-31,Minimum_TE,WST,0.10000000000000002
2020-05-31,Minimum_TE,GILD,0.10000000000000002
2020-05-31,Minimum_TE,BLK,0.1
2020-05-31,Minimum_TE,LUV,0.09027768066005765
2020-05-31,Minimum_TE,REGN,0.08889889740096912
2020-05-31,Minimum_TE,AMAT,0.046016475254524514
2020-05-31,Minimum_TE,NVDA,0.04222408123554993
2020-05-31,Minimum_TE,DAL,0.03689742726104461
2020-05-31,Minimum_TE,MGM,0.03307606585221584
2020-05-31,Minimum_TE,FTNT,0.03200254891778947
2020-05-31,Minimum_TE,AMD,0.028916117800372027
2020-05-31,Minimum_TE,DXCM,0.028840261114822227
2020-05-31,Minimum_TE,MU,0.0250553377148537
2020-05-31,Minimum_TE,UAL,0.021857919129631698
2020-05-31,Minimum_TE,LRCX,0.02077024224923835
2020-05-31,Minimum_TE,APA,0.005166945408930906
2020-05-31,Minimum_TE,RCL,2.2808381456744272e-18
2020-05-31,Minimum_TE,NCLH,1.0670171421995658e-18
2020-05-31,MVO,DXCM,0.09999999999999978
2020-05-31,MVO,UAL,0.09999999999999787
2020-05-31,MVO,BLK,0.09999999999999667
2020-05-31,MVO,DAL,0.09999999999999644
2020-05-31,MVO,NCLH,0.09999999999999622
2020-05-31,MVO,NVDA,0.09999999999999604
2020-05-31,MVO,LUV,0.0999999999999957
2020-05-31,MVO,REGN,0.09999999999999401
2020-05-31,MVO,WST,0.09999999999999284
2020-05-31,MVO,MGM,0.06687039205020427
2020-05-31,MVO,ECL,0.033129607949799605
2020-05-31,MVO,FTNT,6.06399419598728e-15
2020-05-31,MVO,MU,5.549724585138187e-15
2020-05-31,MVO,RCL,5.266124745961037e-15
2020-05-31,MVO,AMAT,4.711556588322523e-15
2020-05-31,MVO,LRCX,4.147892646465464e-15
2020-05-31,MVO,AMD,3.2157137924554594e-15
2020-05-31,MVO,VRTX,1.6072780776645484e-15
2020-05-31,MVO,GILD,0.0
2020-05-31,MVO,APA,0.0
2020-06-30,Original,UAL,0.05
2020-06-30,Original,NCLH,0.05
2020-06-30,Original,AMD,0.05
2020-06-30,Original,WST,0.05
2020-06-30,Original,REGN,0.05
2020-06-30,Original,TYL,0.05
2020-06-30,Original,TDY,0.05
2020-06-30,Original,ECL,0.05
2020-06-30,Original,LRCX,0.05
2020-06-30,Original,RCL,0.05
2020-06-30,Original,SPG,0.05
2020-06-30,Original,NVDA,0.05
2020-06-30,Original,APTV,0.05
2020-06-30,Original,LUV,0.05
2020-06-30,Original,TMUS,0.05
2020-06-30,Original,DAL,0.05
2020-06-30,Original,DXCM,0.05
2020-06-30,Original,MGM,0.05
2020-06-30,Original,BA,0.05
2020-06-30,Original,FTNT,0.05
2020-06-30,Minimum_TE,TMUS,0.1
2020-06-30,Minimum_TE,WST,0.1
2020-06-30,Minimum_TE,REGN,0.1
2020-06-30,Minimum_TE,TYL,0.1
2020-06-30,Minimum_TE,ECL,0.1
2020-06-30,Minimum_TE,LUV,0.09280094741783908
