Date,Portfolio,Factor,Proxy Active Variance Contribution Daily,Proxy Active Variance Contribution Pct
2023-04-30,Original,Sector_Communication_Services,4.145411415121964e-06,0.1413180199574193
2023-04-30,Original,Sector_Consumer_Cyclical,-1.6161954641178603e-06,-0.05509647173260813
2023-04-30,Original,Sector_Consumer_Defensive,2.2718565285307878e-06,0.0774481068557248
2023-04-30,Original,Sector_Energy,9.276281517325029e-07,0.03162305511616896
2023-04-30,Original,Sector_Financial_Services,-3.0021863645091387e-06,-0.10234521741990045
2023-04-30,Original,Sector_Healthcare,1.314650240497573e-06,0.044816726331660395
2023-04-30,Original,Sector_Industrials,-2.6243714002789528e-06,-0.08946541917827713
2023-04-30,Original,Sector_Real_Estate,-4.6778371419644584e-07,-0.015946853433514784
2023-04-30,Original,Sector_Technology,7.818724819773902e-06,0.2665421111380496
2023-04-30,Original,Sector_Utilities,1.3403079785826045e-06,0.04569140447085206
2023-04-30,Original,Size,1.7924653092590145e-06,0.06110555092862707
2023-04-30,Original,Nonlinear_Size,-1.4657249447529508e-07,-0.004996689743244475
2023-04-30,Original,Momentum,2.4072374021974336e-06,0.08206327169482511
2023-04-30,Original,Residual_Volatility,9.685067735687801e-07,0.03301661665156143
2023-04-30,Original,Liquidity,9.455999694053037e-07,0.03223571847674429
2023-04-30,Original,Book_to_Price,1.5736508821427438e-08,0.0005364611723637951
2023-04-30,Original,Earnings_Yield,9.479584958686715e-08,0.003231612118143229
2023-04-30,Original,Leverage,1.8087247291433178e-08,0.000616598382583054
2023-04-30,Original,Dividend_Yield,3.234095588157147e-09,0.0001102510557104612
2023-04-30,Minimum_TE,Market,1.5543439293419363e-06,0.07001648339097986
2023-04-30,Minimum_TE,Sector_Basic_Materials,-1.5116662280506095e-06,-0.06809403720180572
2023-04-30,Minimum_TE,Sector_Communication_Services,5.8886130156530736e-06,0.2652565932309055
2023-04-30,Minimum_TE,Sector_Consumer_Cyclical,-6.019377604134605e-06,-0.2711469733872598
2023-04-30,Minimum_TE,Sector_Consumer_Defensive,9.523997691575431e-07,0.04290149777020334
2023-04-30,Minimum_TE,Sector_Energy,6.641333235315486e-06,0.2991633893801727
2023-04-30,Minimum_TE,Sector_Financial_Services,-5.637063830245156e-06,-0.25392538845077384
2023-04-30,Minimum_TE,Sector_Healthcare,1.0410259592126854e-06,0.04689372500309692
2023-04-30,Minimum_TE,Sector_Industrials,-8.586470090254569e-06,-0.3867834068847186
2023-04-30,Minimum_TE,Sector_Real_Estate,-4.082317096374955e-06,-0.18389076045483838
2023-04-30,Minimum_TE,Sector_Technology,1.807807222171154e-05,0.8143391044659515
2023-04-30,Minimum_TE,Sector_Utilities,5.744284493896572e-07,0.025875521644057885
2023-04-30,Minimum_TE,Size,8.751121396292797e-07,0.03942002373666374
2023-04-30,Minimum_TE,Nonlinear_Size,-4.706610963601007e-08,-0.002120125038866343
2023-04-30,Minimum_TE,Momentum,6.958676445931644e-07,0.0313458330940985
2023-04-30,Minimum_TE,Residual_Volatility,7.513682084645244e-08,0.003384589388188972
2023-04-30,Minimum_TE,Liquidity,7.850881087745525e-07,0.03536482981069805
2023-04-30,Minimum_TE,Book_to_Price,7.247093500818909e-09,0.0003264502740701605
2023-04-30,Minimum_TE,Earnings_Yield,8.917817183993526e-09,0.00040170916292073646
2023-04-30,Minimum_TE,Leverage,-1.1775030031676693e-11,-5.304142661593736e-07
2023-04-30,Minimum_TE,Dividend_Yield,4.7862077014906804e-08,0.0021559799328265744
2023-04-30,MVO,Market,4.197487462894552e-06,0.07423535488412078
2023-04-30,MVO,Sector_Basic_Materials,1.81333790693512e-06,0.03207008579206783
2023-04-30,MVO,Sector_Communication_Services,1.7081288752054998e-06,0.030209394157725885
2023-04-30,MVO,Sector_Consumer_Cyclical,1.2365268232526112e-06,0.02186879850371053
2023-04-30,MVO,Sector_Consumer_Defensive,1.382075240554793e-06,0.024442918976198765
2023-04-30,MVO,Sector_Energy,1.8848266753915912e-07,0.0033334412164334162
2023-04-30,MVO,Sector_Financial_Services,3.9264463397927954e-07,0.0069441812523478585
2023-04-30,MVO,Sector_Healthcare,-3.4956779533434987e-07,-0.006182338737662378
2023-04-30,MVO,Sector_Industrials,9.395864573054785e-07,0.016617210824088232
2023-04-30,MVO,Sector_Real_Estate,2.163545976178417e-07,0.003826374819925249
2023-04-30,MVO,Sector_Technology,6.928718950429963e-07,0.012253899856148841
2023-04-30,MVO,Sector_Utilities,3.948078657399168e-09,6.98243944343648e-05
2023-04-30,MVO,Size,5.950836612585861e-07,0.010524449964362607
2023-04-30,MVO,Nonlinear_Size,-1.134226189173489e-07,-0.002005954381435948
2023-04-30,MVO,Momentum,7.683690777986625e-06,0.13589117698765896
2023-04-30,MVO,Residual_Volatility,3.6156908963117034e-06,0.06394589601796913
2023-04-30,MVO,Liquidity,4.2552843269522686e-07,0.007525753082924085
2023-04-30,MVO,Book_to_Price,3.2797511772418334e-07,0.005800457886448651
2023-04-30,MVO,Earnings_Yield,2.486649808074864e-07,0.004397805415901626
2023-04-30,MVO,Leverage,1.0802980614195925e-07,0.0019105789041430146
2023-04-30,MVO,Dividend_Yield,5.789228211259834e-08,0.001023863476823049
2023-05-31,Original,Market,2.8707139191722424e-07,0.012092919201998202
2023-05-31,Original,Sector_Basic_Materials,1.0167634821574102e-07,0.004283129208784864
2023-05-31,Original,Sector_Communication_Services,5.664109117677484e-07,0.023860132301558472
2023-05-31,Original,Sector_Consumer_Cyclical,2.2658335747087574e-06,0.0954485299323333
2023-05-31,Original,Sector_Consumer_Defensive,-1.6336392058269202e-07,-0.006881726106298275
2023-05-31,Original,Sector_Energy,-5.599744860911643e-07,-0.02358899704444779
2023-05-31,Original,Sector_Financial_Services,-6.882553165757708e-07,-0.028992843480887133
2023-05-31,Original,Sector_Healthcare,3.1321915896263363e-07,0.013194397242289945
2023-05-31,Original,Sector_Industrials,2.3441514633632058e-06,0.09874768103632914
2023-05-31,Original,Sector_Real_Estate,-4.241001877767176e-07,-0.01786527480179886
2023-05-31,Original,Sector_Technology,1.7720466944662098e-06,0.07464769427295245
2023-05-31,Original,Sector_Utilities,-6.037614901989509e-07,-0.02543353020825991
2023-05-31,Original,Size,3.8976632330438344e-07,0.016418956357514402
2023-05-31,Original,Nonlinear_Size,-4.555813155806894e-08,-0.0019191421348059322
2023-05-31,Original,Momentum,2.492981303536151e-06,0.10501715714134169
2023-05-31,Original,Residual_Volatility,1.0827484161107594e-06,0.04561091589333437
2023-05-31,Original,Liquidity,3.9309499509869395e-07,0.016559177083758606
2023-05-31,Original,Book_to_Price,1.164607180748457e-06,0.049059226852249074
2023-05-31,Original,Earnings_Yield,-5.021568599028628e-08,-0.0021153422126038396
2023-05-31,Original,Leverage,6.978561526419444e-08,0.002939727993150129
2023-05-31,Original,Dividend_Yield,3.947768879487307e-09,0.00016630027035772555
2023-05-31,Minimum_TE,Market,4.779196306493876e-07,0.031107506493259007
2023-05-31,Minimum_TE,Sector_Basic_Materials,6.458471656193444e-09,0.00042037810564211073
2023-05-31,Minimum_TE,Sector_Communication_Services,8.422749254805821e-07,0.05482317744072358
2023-05-31,Minimum_TE,Sector_Consumer_Cyclical,4.3419390676901436e-07,0.028261424950881367
2023-05-31,Minimum_TE,Sector_Consumer_Defensive,6.899078724791782e-08,0.004490569595087638
2023-05-31,Minimum_TE,Sector_Energy,2.118237063732093e-07,0.013787479941925338
2023-05-31,Minimum_TE,Sector_Financial_Services,1.9289066637407385e-07,0.012555139550487614
2023-05-31,Minimum_TE,Sector_Healthcare,-1.0704880597769149e-08,-0.0006967743556635025
2023-05-31,Minimum_TE,Sector_Industrials,5.993998807600704e-07,0.03901458422510701
2023-05-31,Minimum_TE,Sector_Real_Estate,1.5089572583280108e-07,0.009821713673428295
2023-05-31,Minimum_TE,Sector_Technology,6.367017540736236e-07,0.04144254112810217
2023-05-31,Minimum_TE,Sector_Utilities,4.6397841056610205e-08,0.0030200080711908516
2023-05-31,Minimum_TE,Size,9.503337041042368e-08,0.006185665952038104
2023-05-31,Minimum_TE,Nonlinear_Size,8.286012956797015e-08,0.0053933168952812445
2023-05-31,Minimum_TE,Momentum,1.2876137362533226e-06,0.0838100176108785
2023-05-31,Minimum_TE,Residual_Volatility,1.0585292353025507e-07,0.006889904274435516
2023-05-31,Minimum_TE,Liquidity,2.888075141827514e-07,0.018798310524584527
2023-05-31,Minimum_TE,Book_to_Price,1.243308180933612e-07,0.008092619518257058
2023-05-31,Minimum_TE,Earnings_Yield,1.0285666499566135e-08,0.0006694879576049073
2023-05-31,Minimum_TE,Leverage,5.737182097390254e-08,0.0037342979426284706
2023-05-31,Minimum_TE,Dividend_Yield,3.8202471489965786e-08,0.0024865763063925644
2023-05-31,MVO,Market,2.3677353849161396e-06,0.043898081361124504
2023-05-31,MVO,Sector_Basic_Materials,1.6203155032852375e-06,0.030040832369629848
2023-05-31,MVO,Sector_Communication_Services,-4.602752370276209e-06,-0.08533554861015431
2023-05-31,MVO,Sector_Consumer_Cyclical,2.7865744964122564e-06,0.051663405776516826
2023-05-31,MVO,Sector_Consumer_Defensive,-5.017976574659311e-07,-0.009303385223953695
2023-05-31,MVO,Sector_Energy,3.7269302539561475e-06,0.0690977076905061
2023-05-31,MVO,Sector_Financial_Services,-2.563399765057726e-06,-0.04752572106007404
2023-05-31,MVO,Sector_Healthcare,-2.508679841992683e-06,-0.04651120750839656
2023-05-31,MVO,Sector_Industrials,1.579674645624275e-05,0.29287346280114823
2023-05-31,MVO,Sector_Real_Estate,-1.299684041431389e-06,-0.024096288866558013
2023-05-31,MVO,Sector_Technology,-3.948259248420718e-06,-0.07320117223661952
2023-05-31,MVO,Sector_Utilities,-5.194294195860457e-07,-0.009630280084342073
2023-05-31,MVO,Size,1.4624700237815602e-06,0.02711435935838009
2023-05-31,MVO,Nonlinear_Size,-1.0274312615968657e-07,-0.0019048691590229977
2023-05-31,MVO,Momentum,4.2498672358387045e-06,0.07879301837584032
2023-05-31,MVO,Residual_Volatility,1.6285214416158538e-06,0.030192971392755747
2023-05-31,MVO,Liquidity,6.728563051627582e-07,0.012474831865312737
2023-05-31,MVO,Book_to_Price,2.1929936438203416e-06,0.0406583497523157
2023-05-31,MVO,Earnings_Yield,-7.967394051541576e-08,-0.0014771638525945291
2023-05-31,MVO,Leverage,2.8563290704858264e-07,0.005295666345535183
2023-05-31,MVO,Dividend_Yield,3.0174343730666557e-09,5.594357395449627e-05
2023-06-30,Original,Market,2.0210460960126718e-06,0.068905024090476
2023-06-30,Original,Sector_Basic_Materials,1.173405590060705e-06,0.0400057874041311
2023-06-30,Original,Sector_Communication_Services,-2.040970199370309e-06,-0.06958431132917266
2023-06-30,Original,Sector_Consumer_Cyclical,1.36828890474792e-05,0.4665008884774852
2023-06-30,Original,Sector_Consumer_Defensive,-3.8616306707423245e-06,-0.13165743964028442
2023-06-30,Original,Sector_Energy,-3.9291403431752556e-07,-0.013395909699214233
2023-06-30,Original,Sector_Financial_Services,-6.762499725777109e-07,-0.023055892066777845
2023-06-30,Original,Sector_Healthcare,-7.080440501281846e-06,-0.24139871142698993
2023-06-30,Original,Sector_Industrials,8.309156113758717e-06,0.28329022446328234
2023-06-30,Original,Sector_Real_Estate,-2.854228594409353e-06,-0.0973113331979484
2023-06-30,Original,Sector_Technology,7.579901696523e-06,0.2584272125375029
2023-06-30,Original,Sector_Utilities,-5.83806665606456e-06,-0.19904153812799077
2023-06-30,Original,Size,2.9483547913343556e-07,0.010052044746776043
2023-06-30,Original,Nonlinear_Size,5.930574367788779e-08,0.0020219547218099823
2023-06-30,Original,Momentum,9.157674866689894e-07,0.03122194038755152
2023-06-30,Original,Residual_Volatility,1.9900375264439583e-06,0.06784782592099396
2023-06-30,Original,Liquidity,2.573360011212295e-08,0.0008773547219723533
2023-06-30,Original,Book_to_Price,1.2639166518789915e-06,0.043091648190457514
2023-06-30,Original,Earnings_Yield,1.8636696351965105e-07,0.006353947164453937
2023-06-30,Original,Leverage,5.942505634153836e-07,0.020260225369772667
2023-06-30,Original,Dividend_Yield,1.5679769954721043e-07,0.005345820308575491
2023-06-30,Minimum_TE,Market,1.913520042855256e-07,0.011524928973751998
2023-06-30,Minimum_TE,Sector_Basic_Materials,7.351709784992957e-07,0.04427857101577821
2023-06-30,Minimum_TE,Sector_Communication_Services,-5.168141488813553e-07,-0.031127169954280214
2023-06-30,Minimum_TE,Sector_Consumer_Cyclical,9.427703153694727e-08,0.005678205965892165
2023-06-30,Minimum_TE,Sector_Consumer_Defensive,-2.9016203094258303e-07,-0.017476152444700868
2023-06-30,Minimum_TE,Sector_Energy,-7.814023047770947e-07,-0.04706303493453054
2023-06-30,Minimum_TE,Sector_Financial_Services,-1.9462406898963784e-07,-0.011722001972559709
2023-06-30,Minimum_TE,Sector_Healthcare,-2.938908592546619e-07,-0.017700735832852373
2023-06-30,Minimum_TE,Sector_Industrials,4.375307174618043e-06,0.26352012676375597
2023-06-30,Minimum_TE,Sector_Real_Estate,-3.953840198122718e-07,-0.023813561622765152
2023-06-30,Minimum_TE,Sector_Technology,1.0044598930739853e-06,0.06049755772292098
2023-06-30,Minimum_TE,Sector_Utilities,-3.231710470040573e-07,-0.01946425059408987
2023-06-30,Minimum_TE,Size,7.822595286176622e-08,0.004711466462042819
