Date,Portfolio Return,Historical Benchmark Return,Active Return vs S&P500
2025-05-27,0.020115059346150117,0.020459018201495205,-0.00034395885534508827
2025-05-28,-0.010892042132464344,-0.005571185873944895,-0.0053208562585194494
2025-05-29,0.004951660348190701,0.004011174227950942,0.000940486120239759
2025-05-30,-0.0030167149193326857,-8.118846379590039e-05,-0.0029355264555367853
2025-06-02,0.008875240414209503,0.00410204188649943,0.004773198527710073
2025-06-03,0.013204419582466709,0.005800260784307065,0.0074041587981596435
2025-06-04,-0.0014449938471510662,7.369727504324963e-05,-0.0015186911221943158
2025-06-05,-0.0018175607217181164,-0.005277340930292529,0.0034597802085744125
2025-06-06,0.009633525503589124,0.010280672806559643,-0.0006471473029705192
2025-06-09,0.005970531368771901,0.0009199448033119229,0.0050505865654599785
2025-06-10,0.004053324653296666,0.005482960032501483,-0.0014296353792048163
2025-06-11,-2.5315017173179305e-05,-0.002743918089822439,0.00271860307264926
2025-06-12,0.006162417954761691,0.0038224979409655635,0.002339920013796127
2025-06-13,-0.012525250984846633,-0.01129645375054178,-0.0012287972343048535
2025-06-16,0.013192269716833915,0.009392719053299414,0.0037995506635345004
2025-06-17,-0.010254700659160995,-0.008352242873078675,-0.0019024577860823205
2025-06-18,0.002093980787860769,-0.00030922389816012696,0.002403204686020896
2025-06-20,-0.0032087937372511045,-0.002178612810510794,-0.0010301809267403107
2025-06-23,0.012973249910047035,0.009606490790637912,0.0033667591194091236
2025-06-24,0.011435324052607538,0.011121677894565751,0.000313646158041787
2025-06-25,0.0005542769013224088,-3.282897091061443e-06,0.0005575597984134702
2025-06-26,0.015854454238899234,0.008020143922681022,0.007834310316218212
2025-06-27,0.0004740580176048224,0.005219002706390752,-0.004744944688785929
2025-06-30,0.003372974482317328,0.0051643671625301035,-0.0017913926802127756
2025-07-01,0.00811445303524556,-0.0011184618731818752,0.009232914908427436
2025-07-02,0.014731942024126024,0.004745071401949907,0.009986870622176116
2025-07-03,0.006330117891769434,0.00833892687501403,-0.002008808983244596
2025-07-07,-0.00877240903211581,-0.00786227873904155,-0.0009101302930742596
2025-07-08,-0.0014846935689160218,-0.0007158931489344988,-0.0007688004199815229
2025-07-09,0.023760051190031547,0.0060621442064277,0.017697906983603847
2025-07-10,0.006482313300763468,0.00274617371784025,0.003736139582923218
2025-07-11,-0.003205316988906226,-0.0032975291618766445,9.22121729704183e-05
2025-07-14,0.0038436822500466468,0.0014074044490595128,0.002436277800987134
2025-07-15,-0.008235074681673454,-0.003956251515499609,-0.004278823166173845
2025-07-16,0.005131707464068937,0.003193588478737075,0.001938118985331862
2025-07-17,0.009094801386959202,0.005373820585277134,0.0037209808016820684
2025-07-18,0.0022524910313344447,-9.051412020266714e-05,0.002343005151537112
2025-07-21,0.0030928671740650315,0.0013991255862113583,0.0016937415878536732
2025-07-22,0.006094806864329941,0.0006375285460542557,0.005457278318275686
2025-07-23,0.014653618133623248,0.007811880905664648,0.0068417372279586
2025-07-24,0.00411388361869756,0.000698232873244109,0.003415650745453451
2025-07-25,0.00744111577676319,0.003974321701619488,0.0034667940751437025
2025-07-28,-0.005349131446077056,0.00017687645570885202,-0.005526007901785908
2025-07-29,0.0019909178438127888,-0.0029594179446209568,0.0049503357884337455
2025-07-30,-0.006050441212103327,-0.001249438851269713,-0.004801002360833614
2025-07-31,0.024480805402893362,-0.0036948561190650597,0.028175661521958422
2025-08-01,-0.011790063979084804,-0.01599207494727417,0.004202010968189366
2025-08-04,0.019260684091537982,0.01473707159815385,0.004523612493384132
2025-08-05,-0.0030665518089578445,-0.004857865951336082,0.0017913141423782377
2025-08-06,0.0005778798129685599,0.007281888623775545,-0.006704008810806986
2025-08-07,0.002579670036639934,-0.0007974707882983934,0.0033771408249383275
2025-08-08,0.00920360112602028,0.007799684542586727,0.001403916583433553
2025-08-11,-0.00576613286805207,-0.002504127898332431,-0.0032620049697196386
2025-08-12,0.016382233097379705,0.011345503612643082,0.005036729484736623
2025-08-13,0.006891101223467337,0.0032300302834731287,0.003661070939994208
2025-08-14,-0.002472651169124142,0.00030309684562790373,-0.0027757480147520457
2025-08-15,-0.004410998245957346,-0.0028970988816641174,-0.0015138993642932284
2025-08-18,0.006031876071399532,-0.00010077831870769494,0.006132654390107227
2025-08-19,-0.006717856296899684,-0.005858136343549147,-0.0008597199533505366
2025-08-20,-0.005967489903817402,-0.002431617579394141,-0.0035358723244232615
2025-08-21,0.0015297701710062256,-0.00400420277120217,0.005533972942208395
2025-08-22,0.02635479600917665,0.01518640789806236,0.01116838811111429
2025-08-25,-0.00036292343145353975,-0.0042663343080389105,0.0039034108765853706
2025-08-26,0.00550826824398311,0.004133976879546308,0.0013742913644368016
2025-08-27,0.006750006472809763,0.002390990327779008,0.004359016145030755
2025-08-28,0.007792973583458607,0.003156725398833604,0.004636248184625003
2025-08-29,-0.012832961286602683,-0.0063981691392923645,-0.006434792147310318
2025-09-02,-0.0012893087323487833,-0.006922322011807647,0.005633013279458863
2025-09-03,0.001561425619991634,0.005100116280157385,-0.003538690660165751
2025-09-04,0.004455449509641412,0.00834643764364329,-0.003890988134001878
2025-09-05,-0.000788700278390164,-0.003165141001033489,0.002376440722643325
2025-09-08,0.001779090653501784,0.0021059939828742547,-0.0003269033293724706
2025-09-09,0.002192908924439477,0.0026881596267984698,-0.0004952507023589926
2025-09-10,0.015790569299111403,0.0029834428900241683,0.012807126409087235
2025-09-11,0.009636755117130589,0.008485863528086224,0.0011508915890443647
2025-09-12,0.001295148532884068,-0.0004827346462299431,0.001777883179114011
2025-09-15,0.007877386286971357,0.004706657817319604,0.0031707284696517526
2025-09-16,-0.0008332524964242755,-0.00128792734396721,0.00045467484754293456
2025-09-17,0.0016677683521694648,-0.0009702183823840915,0.002637986734553556
2025-09-18,0.024469090952684534,0.004789139969850087,0.019679950982834447
2025-09-19,0.0061750352117131155,0.004885433567150432,0.0012896016445626832
2025-09-22,0.0005139769287650001,0.004410025868950784,-0.0038960489401857843
2025-09-23,0.004148809125116337,-0.005502147525676904,0.009650956650793241
2025-09-24,-0.004804765696462842,-0.002846661819580154,-0.001958103876882688
2025-09-25,-0.006636148968978525,-0.005009061505249379,-0.0016270874637291455
2025-09-26,0.008630925005192766,0.00590183989631643,0.002729085108876336
2025-09-29,0.0009292028857129898,0.0026355795716241914,-0.0017063766859112017
2025-09-30,0.007892242794760168,0.0040908483593822265,0.0038013944353779416
2025-10-01,0.02082235449598916,0.0033998857734067744,0.017422468722582386
2025-10-02,-0.0009473916184421988,0.0006183692931220897,-0.0015657609115642885
2025-10-03,0.0026389696367778988,6.552152903416264e-05,0.002573448107743736
2025-10-06,0.007621129159181653,0.0036466298082578064,0.003974499350923847
2025-10-07,-0.003912917517299267,-0.003811414362608012,-0.00010150315469125478
2025-10-08,0.018300109216447147,0.005827608238179849,0.012472500978267298
2025-10-09,-0.00852952245110982,-0.002755518440207827,-0.005774004010901994
